Resume,JobDescription,ExperienceYears,ATS_Score
"Professional Summary:
Results-driven Data Scientist with 12 years of experience in
R, Tableau, Statistics, Matplotlib. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
R, Tableau, Statistics, Matplotlib, Machine Learning, Scikit-learn, TensorFlow, Power BI, Agile, Project Management

Experience:
Data Scientist at DataWave Analytics
- Engineered statistical analyses using Power BI, across 5 production environments.
- Deployed machine learning models using SQL, for over 10,000 users.
- Architected predictive models using Deep Learning, reducing latency by 25%.

Education:
MCA, Anna University

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a Data Scientist with at least 3 years of experience.
Required Skills: Matplotlib, Data Visualization, Tableau, R, Feature Engineering, Scikit-learn.
Responsibilities include working on machine learning models, statistical analyses
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,86.1
"Professional Summary:
Results-driven Software Engineer with 8 years of experience in
Design Patterns, Python, Unit Testing, System Design. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Design Patterns, Python, Unit Testing, System Design, Data Structures, Git, Agile, REST APIs, Agile, Time Management

Experience:
Software Engineer at ByteForge Inc
- Optimized software modules using REST APIs, across 5 production environments.
- Streamlined backend services using SQL, improving performance by 40%.

Education:
B.Tech in Computer Science, Anna University

Certifications:
Scrum Master Certification","We are looking for a Software Engineer with at least 5 years of experience.
Required Skills: System Design, CI/CD, Git, Design Patterns, REST APIs, Microservices.
Responsibilities include working on software modules, backend services
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,88.1
"Professional Summary:
Results-driven Java Developer with 6 years of experience in
JUnit, Multithreading, SQL, Maven. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
JUnit, Multithreading, SQL, Maven, Design Patterns, Microservices, Docker, Spring Boot, Team Leadership, Agile

Experience:
Java Developer at DataWave Analytics
- Delivered REST APIs using Git, by 20%.
- Delivered database integrations using Docker, by 20%.
- Automated REST APIs using JPA, by 20%.
- Engineered backend systems using Maven, across 5 production environments.

Education:
M.Sc in Data Science, Pune University

Certifications:
PMP Certification","We are looking for a Java Developer with at least 2 years of experience.
Required Skills: REST APIs, Kafka, Maven, JUnit, Multithreading, Spring Boot.
Responsibilities include working on Spring Boot microservices, batch jobs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,71.0
"Professional Summary:
Results-driven Software Engineer with 7 years of experience in
Design Patterns, C++, Algorithms, Agile. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Design Patterns, C++, Algorithms, Agile, REST APIs, Object Oriented Programming, Python, Unit Testing, Communication, Project Management

Experience:
Software Engineer at CloudNine Technologies
- Led APIs using Design Patterns, for over 10,000 users.
- Engineered backend services using C++, improving performance by 40%.

Education:
M.Sc in Data Science, VIT University

Certifications:
AWS Certified Solutions Architect","We are looking for a Software Engineer with at least 4 years of experience.
Required Skills: Python, Git, System Design, Algorithms, Data Structures, SQL.
Responsibilities include working on internal tools, backend services
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,82.3
"Professional Summary:
Results-driven Software Engineer with 2 years of experience in
SQL, CI/CD, Object Oriented Programming, Design Patterns. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
SQL, CI/CD, Object Oriented Programming, Design Patterns, Microservices, Java, Agile, Data Structures, Team Leadership, Problem Solving

Experience:
Software Engineer at Quantum Softworks
- Built backend services using C++, for over 10,000 users.
- Streamlined internal tools using System Design, improving performance by 40%.

Education:
B.Sc in Computer Science, Delhi Technological University

Certifications:
Scrum Master Certification","We are looking for a Software Engineer with at least 1 years of experience.
Required Skills: SQL, Unit Testing, Microservices, CI/CD, REST APIs, Algorithms.
Responsibilities include working on scalable systems, internal tools
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,72.1
"Professional Summary:
Results-driven Web Developer with 9 years of experience in
TypeScript, Tailwind CSS, Node.js, Express.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TypeScript, Tailwind CSS, Node.js, Express.js, Git, CSS, Next.js, MongoDB, Project Management, Time Management

Experience:
Web Developer at Pinnacle IT Services
- Delivered responsive UIs using Express.js, improving performance by 40%.
- Developed responsive UIs using React, improving performance by 40%.
- Optimized single page applications using SQL, for over 10,000 users.
- Designed responsive UIs using CSS, across 5 production environments.

Education:
B.E in Information Technology, VIT University

Certifications:
PMP Certification","We are looking for a Web Developer with at least 5 years of experience.
Required Skills: HTML, Bootstrap, JavaScript, CSS, Webpack, TypeScript.
Responsibilities include working on e-commerce platforms, landing pages
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,81.2
"Professional Summary:
Results-driven Java Developer with 7 years of experience in
Docker, Kafka, JUnit, Maven. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Docker, Kafka, JUnit, Maven, Git, Hibernate, Microservices, REST APIs, Time Management, Project Management

Experience:
Java Developer at Vertex Solutions
- Led enterprise applications using Docker, for over 10,000 users.
- Created Spring Boot microservices using MySQL, for over 10,000 users.
- Managed database integrations using REST APIs, reducing latency by 25%.
- Created enterprise applications using Java, resulting in 15% cost savings.

Education:
B.Sc in Computer Science, VIT University

Certifications:
TensorFlow Developer Certificate","We are looking for a Java Developer with at least 4 years of experience.
Required Skills: Java, SQL, Design Patterns, Multithreading, Spring Boot, MySQL.
Responsibilities include working on enterprise applications, database integrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,81.7
"Professional Summary:
Results-driven Software Engineer with 4 years of experience in
Data Structures, REST APIs, Java, Object Oriented Programming. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Data Structures, REST APIs, Java, Object Oriented Programming, Design Patterns, C++, SQL, System Design, Problem Solving, Agile

Experience:
Software Engineer at CloudNine Technologies
- Developed backend services using Algorithms, by 20%.
- Engineered APIs using Git, for over 10,000 users.
- Engineered scalable systems using Object Oriented Programming, improving performance by 40%.

Education:
MCA, Delhi Technological University

Certifications:
Google Data Analytics Certificate","We are looking for a Software Engineer with at least 4 years of experience.
Required Skills: C++, REST APIs, Agile, Data Structures, Object Oriented Programming, Python.
Responsibilities include working on software modules, APIs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,70.4
"Professional Summary:
Results-driven Web Developer with 8 years of experience in
TypeScript, React, Git, REST APIs. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TypeScript, React, Git, REST APIs, Redux, Tailwind CSS, MongoDB, Bootstrap, Scrum, Team Leadership

Experience:
Web Developer at TechCorp Solutions
- Designed web applications using Next.js, for over 10,000 users.
- Automated single page applications using Redux, by 35%.
- Led single page applications using SQL, across 5 production environments.

Education:
MCA, State Technical University

Certifications:
Certified Kubernetes Administrator","We are looking for a Web Developer with at least 3 years of experience.
Required Skills: Webpack, REST APIs, HTML, Node.js, Next.js, JavaScript.
Responsibilities include working on landing pages, frontend components
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,84.3
"Professional Summary:
Results-driven Web Developer with 10 years of experience in
Webpack, Tailwind CSS, Bootstrap, Node.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Webpack, Tailwind CSS, Bootstrap, Node.js, React, Git, REST APIs, Next.js, Problem Solving, Team Leadership

Experience:
Web Developer at ByteForge Inc
- Built e-commerce platforms using Redux, improving performance by 40%.
- Managed e-commerce platforms using Webpack, by 20%.
- Created e-commerce platforms using CSS, improving performance by 40%.
- Built landing pages using Node.js, improving performance by 40%.

Education:
M.Tech in Computer Science, Anna University

Certifications:
Oracle Certified Java Programmer","We are looking for a Web Developer with at least 3 years of experience.
Required Skills: HTML, Webpack, Bootstrap, React, Tailwind CSS, Next.js.
Responsibilities include working on frontend components, landing pages
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,77.3
"Professional Summary:
Results-driven Data Scientist with 6 years of experience in
Statistics, Deep Learning, Matplotlib, Jupyter. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Statistics, Deep Learning, Matplotlib, Jupyter, R, PyTorch, Python, A/B Testing, Communication, Problem Solving

Experience:
Data Scientist at Innovate Systems
- Developed predictive models using PyTorch, by 35%.
- Streamlined predictive models using NumPy, by 35%.
- Implemented statistical analyses using Pandas, reducing latency by 25%.
- Led statistical analyses using Statistics, across 5 production environments.

Education:
B.E in Information Technology, State Technical University

Certifications:
TensorFlow Developer Certificate","We are looking for a Data Scientist with at least 1 years of experience.
Required Skills: Scikit-learn, Pandas, Matplotlib, NumPy, R, Data Visualization.
Responsibilities include working on machine learning models, dashboards
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,81.6
"Professional Summary:
Results-driven Cloud Engineer with 0 years of experience in
DevOps, Python, Linux, Kubernetes. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
DevOps, Python, Linux, Kubernetes, EC2, IAM, Google Cloud Platform, CloudFormation, Time Management, Problem Solving

Experience:
Cloud Engineer at CloudNine Technologies
- Engineered cloud security policies using Lambda, by 20%.
- Improved serverless architectures using Networking, resulting in 15% cost savings.
- Improved multi-region deployments using AWS, by 20%.
- Optimized cloud migrations using DevOps, improving performance by 40%.

Education:
B.E in Information Technology, Indian Institute of Technology

Certifications:
AWS Certified Solutions Architect","We are looking for a Cloud Engineer with at least 5 years of experience.
Required Skills: IAM, EC2, Google Cloud Platform, Azure, Linux, Docker.
Responsibilities include working on auto-scaling systems, serverless architectures
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",0,62.0
"Professional Summary:
Results-driven Software Engineer with 3 years of experience in
Data Structures, Git, System Design, Object Oriented Programming. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Data Structures, Git, System Design, Object Oriented Programming, Java, REST APIs, Design Patterns, Agile, Problem Solving, Communication

Experience:
Software Engineer at NexGen Software
- Engineered scalable systems using Data Structures, resulting in 15% cost savings.
- Delivered backend services using Python, by 20%.
- Developed backend services using Agile, for over 10,000 users.

Education:
M.Tech in Computer Science, Anna University

Certifications:
TensorFlow Developer Certificate","We are looking for a Software Engineer with at least 4 years of experience.
Required Skills: Data Structures, Algorithms, Object Oriented Programming, Microservices, Unit Testing, C++.
Responsibilities include working on APIs, software modules
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,81.5
"Professional Summary:
Results-driven Cloud Engineer with 12 years of experience in
DevOps, Networking, Azure, EC2. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
DevOps, Networking, Azure, EC2, Lambda, IAM, Security, Linux, Team Leadership, Problem Solving

Experience:
Cloud Engineer at Skyline Digital
- Designed serverless architectures using Security, improving performance by 40%.
- Managed cloud migrations using AWS, resulting in 15% cost savings.
- Built cloud infrastructure using Linux, by 35%.

Education:
M.Tech in Computer Science, National Institute of Technology

Certifications:
TensorFlow Developer Certificate","We are looking for a Cloud Engineer with at least 1 years of experience.
Required Skills: IAM, Python, Security, Lambda, Kubernetes, S3.
Responsibilities include working on cloud security policies, cloud migrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",12,84.4
"Professional Summary:
Results-driven AI Engineer with 10 years of experience in
MLOps, Hugging Face, Docker, Kubernetes. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
MLOps, Hugging Face, Docker, Kubernetes, CUDA, FastAPI, Computer Vision, PyTorch, Time Management, Problem Solving

Experience:
AI Engineer at CloudNine Technologies
- Improved deep learning models using MLOps, resulting in 15% cost savings.
- Optimized deep learning models using Transformers, reducing latency by 25%.
- Architected NLP pipelines using PyTorch, for over 10,000 users.

Education:
M.Tech in Computer Science, Pune University

Certifications:
Google Data Analytics Certificate","We are looking for a AI Engineer with at least 4 years of experience.
Required Skills: Hugging Face, Kubernetes, TensorFlow, Transformers, CUDA, FastAPI.
Responsibilities include working on AI inference services, NLP pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,82.3
"Professional Summary:
Results-driven Web Developer with 3 years of experience in
Webpack, Git, Redux, Node.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Webpack, Git, Redux, Node.js, Express.js, Bootstrap, CSS, Next.js, Time Management, Scrum

Experience:
Web Developer at CloudNine Technologies
- Automated e-commerce platforms using Redux, across 5 production environments.
- Delivered e-commerce platforms using Express.js, across 5 production environments.
- Implemented e-commerce platforms using Redux, by 20%.

Education:
B.Sc in Computer Science, Pune University

Certifications:
TensorFlow Developer Certificate","We are looking for a Web Developer with at least 5 years of experience.
Required Skills: Git, Next.js, JavaScript, SQL, CSS, MongoDB.
Responsibilities include working on landing pages, e-commerce platforms
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,81.3
"Professional Summary:
Results-driven DevOps Engineer with 9 years of experience in
Monitoring, Azure DevOps, Terraform, Linux. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Monitoring, Azure DevOps, Terraform, Linux, Docker, Grafana, Prometheus, Jenkins, Project Management, Time Management

Experience:
DevOps Engineer at NexGen Software
- Deployed release pipelines using GitLab CI, improving performance by 40%.
- Architected monitoring systems using Monitoring, reducing latency by 25%.
- Automated monitoring systems using Jenkins, improving performance by 40%.

Education:
MCA, Pune University

Certifications:
Certified Kubernetes Administrator","We are looking for a DevOps Engineer with at least 3 years of experience.
Required Skills: Azure DevOps, Monitoring, Ansible, CI/CD, Grafana, Docker.
Responsibilities include working on monitoring systems, CI/CD pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",9,75.2
"Professional Summary:
Results-driven AI Engineer with 6 years of experience in
OpenCV, REST APIs, MLOps, Computer Vision. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
OpenCV, REST APIs, MLOps, Computer Vision, Python, Hugging Face, Keras, FastAPI, Team Leadership, Agile

Experience:
AI Engineer at Innovate Systems
- Designed computer vision systems using Keras, resulting in 15% cost savings.
- Implemented deep learning models using Hugging Face, by 20%.
- Automated chatbots using Model Deployment, reducing latency by 25%.
- Deployed AI inference services using Kubernetes, by 20%.

Education:
M.Tech in Computer Science, VIT University

Certifications:
Scrum Master Certification","We are looking for a AI Engineer with at least 5 years of experience.
Required Skills: Python, Hugging Face, MLOps, Transformers, Flask, Computer Vision.
Responsibilities include working on deep learning models, AI inference services
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,72.7
"Professional Summary:
Results-driven Cloud Engineer with 4 years of experience in
CloudFormation, Security, Lambda, IAM. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CloudFormation, Security, Lambda, IAM, DevOps, Kubernetes, AWS, Google Cloud Platform, Time Management, Agile

Experience:
Cloud Engineer at Skyline Digital
- Optimized multi-region deployments using Lambda, by 35%.
- Created cloud infrastructure using Kubernetes, improving performance by 40%.
- Streamlined multi-region deployments using Security, for over 10,000 users.

Education:
B.Tech in Electronics and Communication, National Institute of Technology

Certifications:
AWS Certified Solutions Architect","We are looking for a Cloud Engineer with at least 2 years of experience.
Required Skills: IAM, Security, DevOps, Google Cloud Platform, Azure, S3.
Responsibilities include working on auto-scaling systems, multi-region deployments
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,74.7
"Professional Summary:
Results-driven DevOps Engineer with 5 years of experience in
Jenkins, Ansible, CI/CD, Infrastructure as Code. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Jenkins, Ansible, CI/CD, Infrastructure as Code, AWS, Git, Azure DevOps, Docker, Time Management, Communication

Experience:
DevOps Engineer at ByteForge Inc
- Developed infrastructure as code using Git, for over 10,000 users.
- Developed release pipelines using AWS, by 35%.

Education:
B.Sc in Computer Science, Anna University

Certifications:
Google Data Analytics Certificate","We are looking for a DevOps Engineer with at least 1 years of experience.
Required Skills: Jenkins, Kubernetes, Linux, Azure DevOps, Bash Scripting, CI/CD.
Responsibilities include working on container orchestration, CI/CD pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",5,70.8
"Professional Summary:
Results-driven Java Developer with 11 years of experience in
Hibernate, Microservices, REST APIs, Maven. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Hibernate, Microservices, REST APIs, Maven, Spring Boot, JUnit, Git, JPA, Agile, Time Management

Experience:
Java Developer at Innovate Systems
- Implemented REST APIs using Kafka, by 20%.
- Implemented REST APIs using Design Patterns, by 35%.
- Delivered batch jobs using Java, for over 10,000 users.
- Optimized database integrations using Spring Boot, by 20%.

Education:
B.Tech in Electronics and Communication, Delhi Technological University

Certifications:
PMP Certification","We are looking for a Java Developer with at least 3 years of experience.
Required Skills: Git, Java, Spring Boot, JUnit, Maven, SQL.
Responsibilities include working on enterprise applications, REST APIs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",11,80.1
"Professional Summary:
Results-driven Java Developer with 10 years of experience in
JPA, MySQL, JUnit, Docker. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
JPA, MySQL, JUnit, Docker, Git, Design Patterns, Kafka, Microservices, Agile, Team Leadership

Experience:
Java Developer at ByteForge Inc
- Deployed backend systems using Hibernate, by 35%.
- Improved database integrations using SQL, by 20%.
- Created Spring Boot microservices using Maven, by 20%.
- Optimized backend systems using Maven, improving performance by 40%.

Education:
M.Sc in Data Science, State Technical University

Certifications:
Google Data Analytics Certificate","We are looking for a Java Developer with at least 4 years of experience.
Required Skills: Kafka, Design Patterns, Docker, JPA, Microservices, Spring Boot.
Responsibilities include working on Spring Boot microservices, backend systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,90.1
"Professional Summary:
Results-driven Java Developer with 10 years of experience in
JUnit, Maven, Git, Spring Boot. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
JUnit, Maven, Git, Spring Boot, SQL, Java, JPA, Hibernate, Agile, Project Management

Experience:
Java Developer at Pinnacle IT Services
- Designed enterprise applications using Multithreading, by 35%.
- Led enterprise applications using Docker, for over 10,000 users.

Education:
B.Tech in Computer Science, State Technical University

Certifications:
Certified Kubernetes Administrator","We are looking for a Java Developer with at least 3 years of experience.
Required Skills: JPA, Design Patterns, Multithreading, Kafka, Hibernate, Java.
Responsibilities include working on REST APIs, batch jobs
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,78.4
"Professional Summary:
Results-driven Software Engineer with 10 years of experience in
Microservices, Git, Java, Agile. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Microservices, Git, Java, Agile, CI/CD, Design Patterns, SQL, Object Oriented Programming, Team Leadership, Time Management

Experience:
Software Engineer at Vertex Solutions
- Built scalable systems using CI/CD, improving performance by 40%.
- Improved internal tools using CI/CD, by 20%.

Education:
MCA, Pune University

Certifications:
PMP Certification","We are looking for a Software Engineer with at least 5 years of experience.
Required Skills: Algorithms, Unit Testing, Data Structures, SQL, Python, REST APIs.
Responsibilities include working on internal tools, automated tests
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",10,76.2
"Professional Summary:
Results-driven Web Developer with 4 years of experience in
HTML, TypeScript, Node.js, JavaScript. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
HTML, TypeScript, Node.js, JavaScript, Webpack, Express.js, MongoDB, SQL, Project Management, Problem Solving

Experience:
Web Developer at TechCorp Solutions
- Designed frontend components using CSS, reducing latency by 25%.
- Engineered e-commerce platforms using REST APIs, by 35%.
- Designed single page applications using React, by 35%.
- Engineered responsive UIs using SQL, improving performance by 40%.

Education:
M.Tech in Computer Science, State Technical University

Certifications:
Oracle Certified Java Programmer","We are looking for a Web Developer with at least 5 years of experience.
Required Skills: Bootstrap, REST APIs, SQL, Redux, React, TypeScript.
Responsibilities include working on e-commerce platforms, web applications
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",4,69.1
"Professional Summary:
Results-driven Data Scientist with 11 years of experience in
Jupyter, Statistics, A/B Testing, PyTorch. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Jupyter, Statistics, A/B Testing, PyTorch, TensorFlow, Power BI, Data Visualization, NumPy, Problem Solving, Team Leadership

Experience:
Data Scientist at NexGen Software
- Led statistical analyses using Machine Learning, resulting in 15% cost savings.
- Developed statistical analyses using Tableau, by 35%.
- Automated data pipelines using Power BI, across 5 production environments.

Education:
B.Tech in Electronics and Communication, Indian Institute of Technology

Certifications:
Oracle Certified Java Programmer","We are looking for a Data Scientist with at least 2 years of experience.
Required Skills: Tableau, Statistics, Jupyter, A/B Testing, Python, Feature Engineering.
Responsibilities include working on predictive models, data pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",11,88.3
"Professional Summary:
Results-driven Web Developer with 6 years of experience in
Express.js, JavaScript, MongoDB, Next.js. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Express.js, JavaScript, MongoDB, Next.js, TypeScript, CSS, REST APIs, Tailwind CSS, Problem Solving, Agile

Experience:
Web Developer at Quantum Softworks
- Implemented frontend components using Node.js, reducing latency by 25%.
- Deployed e-commerce platforms using Git, by 20%.

Education:
M.Sc in Data Science, Indian Institute of Technology

Certifications:
Scrum Master Certification","We are looking for a Web Developer with at least 3 years of experience.
Required Skills: Tailwind CSS, MongoDB, SQL, HTML, Node.js, Git.
Responsibilities include working on landing pages, web applications
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,79.6
"Professional Summary:
Results-driven DevOps Engineer with 2 years of experience in
Kubernetes, Terraform, Infrastructure as Code, Monitoring. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Kubernetes, Terraform, Infrastructure as Code, Monitoring, Azure DevOps, Linux, Grafana, AWS, Agile, Team Leadership

Experience:
DevOps Engineer at Skyline Digital
- Designed CI/CD pipelines using GitLab CI, resulting in 15% cost savings.
- Managed container orchestration using CI/CD, for over 10,000 users.
- Developed release pipelines using Terraform, for over 10,000 users.
- Improved release pipelines using Docker, by 35%.

Education:
M.Sc in Data Science, Delhi Technological University

Certifications:
AWS Certified Solutions Architect","We are looking for a DevOps Engineer with at least 2 years of experience.
Required Skills: CI/CD, Docker, Terraform, Grafana, Azure DevOps, Jenkins.
Responsibilities include working on deployment automation, release pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",2,76.6
"Professional Summary:
Results-driven Software Engineer with 6 years of experience in
Object Oriented Programming, Unit Testing, Algorithms, Microservices. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Object Oriented Programming, Unit Testing, Algorithms, Microservices, CI/CD, Git, System Design, Agile, Scrum, Agile

Experience:
Software Engineer at DataWave Analytics
- Deployed internal tools using Object Oriented Programming, across 5 production environments.
- Automated internal tools using Object Oriented Programming, by 35%.

Education:
B.Tech in Electronics and Communication, VIT University

Certifications:
TensorFlow Developer Certificate","We are looking for a Software Engineer with at least 4 years of experience.
Required Skills: C++, Design Patterns, Unit Testing, Agile, Microservices, System Design.
Responsibilities include working on APIs, scalable systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",6,75.7
"Professional Summary:
Results-driven Cloud Engineer with 11 years of experience in
EC2, DevOps, Security, CloudFormation. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
EC2, DevOps, Security, CloudFormation, Python, Terraform, IAM, Docker, Project Management, Communication

Experience:
Cloud Engineer at CloudNine Technologies
- Engineered cloud security policies using Python, resulting in 15% cost savings.
- Improved multi-region deployments using Linux, improving performance by 40%.
- Deployed cloud infrastructure using Security, for over 10,000 users.

Education:
B.Sc in Computer Science, National Institute of Technology

Certifications:
Scrum Master Certification","We are looking for a Cloud Engineer with at least 4 years of experience.
Required Skills: Azure, IAM, Google Cloud Platform, Terraform, Security, Lambda.
Responsibilities include working on multi-region deployments, cloud infrastructure
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",11,85.2
"Professional Summary:
Results-driven Java Developer with 3 years of experience in
MySQL, Hibernate, Java, Maven. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
MySQL, Hibernate, Java, Maven, Multithreading, JPA, SQL, Git, Time Management, Scrum

Experience:
Java Developer at Innovate Systems
- Engineered backend systems using JUnit, resulting in 15% cost savings.
- Engineered Spring Boot microservices using REST APIs, across 5 production environments.
- Improved database integrations using Docker, resulting in 15% cost savings.

Education:
M.Sc in Data Science, National Institute of Technology

Certifications:
PMP Certification","We are looking for a Java Developer with at least 3 years of experience.
Required Skills: Java, Spring Boot, Design Patterns, Kafka, Maven, REST APIs.
Responsibilities include working on REST APIs, database integrations
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",3,79.7
"Professional Summary:
Results-driven Web Developer with 8 years of experience in
Express.js, MongoDB, Redux, Bootstrap. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Express.js, MongoDB, Redux, Bootstrap, CSS, React, Tailwind CSS, Webpack, Agile, Time Management

Experience:
Web Developer at NexGen Software
- Engineered frontend components using Bootstrap, improving performance by 40%.
- Implemented e-commerce platforms using React, across 5 production environments.

Education:
M.Sc in Data Science, Pune University

Certifications:
Oracle Certified Java Programmer","We are looking for a Web Developer with at least 5 years of experience.
Required Skills: JavaScript, Express.js, React, REST APIs, HTML, Webpack.
Responsibilities include working on responsive UIs, frontend components
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",8,73.3
"Professional Summary:
Results-driven AI Engineer with 0 years of experience in
TensorFlow, OpenCV, Model Deployment, Computer Vision. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
TensorFlow, OpenCV, Model Deployment, Computer Vision, Docker, CUDA, Kubernetes, NLP, Time Management, Project Management

Experience:
AI Engineer at Skyline Digital
- Managed model training pipelines using Flask, for over 10,000 users.
- Engineered chatbots using Model Deployment, reducing latency by 25%.

Education:
B.E in Information Technology, State Technical University

Certifications:
Oracle Certified Java Programmer","We are looking for a AI Engineer with at least 4 years of experience.
Required Skills: OpenCV, FastAPI, Kubernetes, Keras, CUDA, TensorFlow.
Responsibilities include working on computer vision systems, chatbots
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",0,67.8
"Professional Summary:
Results-driven Software Engineer with 1 years of experience in
CI/CD, Design Patterns, Object Oriented Programming, Algorithms. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
CI/CD, Design Patterns, Object Oriented Programming, Algorithms, Python, Agile, SQL, Data Structures, Time Management, Project Management

Experience:
Software Engineer at TechCorp Solutions
- Designed backend services using REST APIs, by 20%.
- Deployed scalable systems using System Design, by 20%.
- Automated internal tools using SQL, reducing latency by 25%.
- Streamlined software modules using Git, resulting in 15% cost savings.

Education:
M.Tech in Computer Science, VIT University

Certifications:
Google Data Analytics Certificate","We are looking for a Software Engineer with at least 2 years of experience.
Required Skills: Design Patterns, REST APIs, Java, C++, Agile, Object Oriented Programming.
Responsibilities include working on APIs, scalable systems
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",1,64.4
"Professional Summary:
Results-driven Data Scientist with 7 years of experience in
Deep Learning, Scikit-learn, Matplotlib, PyTorch. Proven track record of delivering high quality
solutions in fast paced environments.

Skills:
Deep Learning, Scikit-learn, Matplotlib, PyTorch, TensorFlow, Jupyter, Statistics, A/B Testing, Communication, Project Management

Experience:
Data Scientist at Vertex Solutions
- Created recommendation systems using PyTorch, by 35%.
- Automated predictive models using R, resulting in 15% cost savings.
- Developed machine learning models using Statistics, by 20%.
- Designed machine learning models using Scikit-learn, improving performance by 40%.

Education:
B.Tech in Electronics and Communication, Delhi Technological University

Certifications:
Microsoft Certified: Azure Fundamentals","We are looking for a Data Scientist with at least 1 years of experience.
Required Skills: SQL, Matplotlib, Tableau, Data Visualization, Feature Engineering, PyTorch.
Responsibilities include working on statistical analyses, data pipelines
and collaborating with cross-functional teams. Strong communication and
problem-solving skills required.",7,82.3
